Date,Open,High,Low,Close,Volume,Adj Close
2016-06-17,69.271,69.695,68.72,69.342,5600,69.342
2016-06-16,67.791,69.121,67.158,69.121,10300,69.121
2016-06-15,67.831,69.32,67.831,69.031,9800,69.031
2016-06-14,69.098,69.144,67.451,67.868,22800,67.868
2016-06-13,69.99,70.048,68.91,68.91,19600,68.91
2016-06-10,72.018,72.018,70.095,70.70,15200,70.70
2016-06-09,73.20,73.299,71.438,72.098,6200,72.098
2016-06-08,73.776,74.032,72.782,73.141,1800,73.141
2016-06-07,72.419,74.013,72.271,74.013,8400,74.013
2016-06-06,72.75,73.063,71.894,72.419,3900,72.419
2016-06-03,74.434,74.434,71.593,72.30,9300,72.30
2016-06-02,73.908,74.264,73.382,74.15,3900,74.15
2016-06-01,75.80,75.89,73.772,74.00,3300,74.00
2016-05-31,76.00,76.239,74.896,76.078,3800,76.078
2016-05-30,75.55,76.10,75.30,75.601,7400,75.601
2016-05-27,75.60,75.60,74.742,74.973,4800,74.973
2016-05-26,73.55,75.815,73.55,75.637,3700,75.637
2016-05-25,72.80,74.073,72.80,74.04,12900,74.04
2016-05-24,70.90,72.618,70.142,72.372,7100,72.372
2016-05-23,72.05,72.05,70.60,70.996,5500,70.996
2016-05-20,71.361,71.878,70.95,71.522,7400,71.522
2016-05-19,70.80,71.687,70.00,70.835,9100,70.835
2016-05-18,71.284,71.64,70.535,71.209,12200,71.209
2016-05-17,74.44,74.85,70.993,71.819,19500,71.819
2016-05-16,73.387,73.387,73.387,73.387,000,73.387
2016-05-13,72.739,73.953,72.346,73.387,32100,73.387
2016-05-12,77.05,77.226,75.468,76.279,21500,73.079
2016-05-11,78.35,78.35,76.647,77.354,24700,74.109
2016-05-10,77.30,78.22,77.196,78.204,26300,74.923
2016-05-09,76.95,77.342,75.895,76.91,27800,73.684
2016-05-06,75.50,76.078,74.443,76.078,24700,72.886
2016-05-05,76.899,76.899,75.008,75.529,8200,72.36
2016-05-04,78.50,78.619,76.065,76.799,19400,73.577
2016-05-03,80.99,81.20,77.797,78.625,45000,75.327
2016-05-02,81.20,82.648,80.919,81.625,20300,78.201
2016-04-29,83.10,84.005,80.30,81.098,16300,77.696
2016-04-28,83.30,84.148,81.90,83.83,17600,80.313
2016-04-27,82.80,83.577,82.80,83.567,30000,80.061
2016-04-26,82.40,83.601,82.30,82.594,10600,79.129
2016-04-25,82.85,83.40,81.892,81.936,23800,78.499
2016-04-22,81.86,83.50,81.30,82.886,26700,79.409
2016-04-21,84.45,85.052,83.50,83.951,16700,80.429
2016-04-20,82.60,84.43,82.00,84.229,25600,80.695
2016-04-19,81.00,83.276,80.982,82.764,33100,79.292
2016-04-18,78.55,80.81,77.968,80.41,21000,77.037
2016-04-15,79.199,79.20,77.712,78.175,10300,74.895
2016-04-14,78.345,79.397,78.164,79.397,12000,76.066
2016-04-13,76.25,78.75,76.25,78.093,17600,74.817
2016-04-12,75.00,75.637,74.055,75.637,12100,72.464
2016-04-11,74.44,75.533,73.90,74.976,12700,71.831
2016-04-08,73.667,75.303,73.667,74.569,8900,71.441
2016-04-07,75.70,76.129,73.417,73.417,21300,70.337
2016-04-06,75.05,75.337,73.651,75.337,13500,72.177
2016-04-05,76.85,76.85,74.20,75.01,27700,71.863
2016-04-04,78.79,78.79,76.652,77.647,18800,74.39
2016-04-01,80.30,80.30,77.263,78.50,32000,75.207
2016-03-31,82.075,82.25,80.699,81.101,10300,77.699
2016-03-30,80.895,82.80,80.70,82.249,15900,78.799
2016-03-29,80.40,81.00,79.573,80.301,22600,76.932
2016-03-28,79.999,79.999,79.999,79.999,000,76.643
2016-03-25,79.999,79.999,79.999,79.999,000,76.643
2016-03-24,80.919,81.111,79.261,79.999,23100,76.643
2016-03-23,81.178,82.65,80.603,80.959,9600,77.563
2016-03-22,81.44,81.44,79.50,81.35,12500,77.937
2016-03-21,81.70,82.468,80.401,81.552,10900,78.131
2016-03-18,81.239,81.83,81.00,81.377,7800,77.963
2016-03-17,83.50,83.889,79.267,80.819,35100,77.429
2016-03-16,80.20,83.442,79.801,83.004,61800,79.522
2016-03-15,80.389,80.53,78.936,79.908,13800,76.556
2016-03-14,79.50,81.30,79.424,80.63,21000,77.247
2016-03-11,76.68,79.298,76.68,78.849,25700,75.541
2016-03-10,78.73,81.461,74.884,75.507,47800,72.339
2016-03-09,80.20,81.242,77.558,78.716,31500,75.414
2016-03-08,81.61,81.65,79.116,80.06,11500,76.701
2016-03-07,83.00,83.299,80.654,82.133,24800,78.687
2016-03-04,81.497,83.25,81.006,82.835,15000,79.36
2016-03-03,80.65,81.751,80.134,81.351,6200,77.938
2016-03-02,79.60,80.63,79.10,80.63,15700,77.247
2016-03-01,74.75,78.504,74.75,78.116,14800,74.839
2016-02-29,72.85,75.337,72.80,75.337,7900,72.177
2016-02-26,72.00,74.776,72.00,73.707,7200,70.615
2016-02-25,71.199,71.638,70.017,71.595,7000,68.592
2016-02-24,73.001,73.30,68.968,70.689,12600,67.724
2016-02-23,74.85,75.00,72.977,73.001,4300,69.939
2016-02-22,74.59,75.657,74.55,75.587,4400,72.416
2016-02-19,75.48,75.48,73.407,73.888,17300,70.788
2016-02-18,75.80,76.535,74.363,75.421,9700,72.257
2016-02-17,73.10,75.712,73.00,75.677,6200,72.502
2016-02-16,74.24,74.24,72.21,73.201,15200,70.13
2016-02-15,71.75,73.90,71.75,73.662,17900,70.572
2016-02-12,68.15,70.61,67.50,70.086,15400,67.146
2016-02-11,68.05,68.30,65.985,67.848,13400,65.002
2016-02-10,68.43,70.15,67.793,69.449,13100,66.536
2016-02-09,68.90,69.738,66.88,67.512,11400,64.68
2016-02-08,73.00,73.189,69.092,69.372,16300,66.462
2016-02-05,71.30,73.635,71.30,72.84,3300,69.784
2016-02-04,74.95,74.95,69.601,71.968,24600,68.949
2016-02-03,73.447,74.695,72.016,72.719,10200,69.668
2016-02-02,75.657,75.657,73.501,73.753,7200,70.659
2016-02-01,77.25,77.25,74.267,75.657,11200,72.483
2016-01-29,78.959,78.959,75.713,77.051,12300,73.819
2016-01-28,78.79,80.337,77.374,78.615,3500,75.317
2016-01-27,79.75,80.209,78.095,80.159,3000,76.796
2016-01-26,77.427,80.199,76.199,80.199,7000,76.835
2016-01-25,80.40,80.45,78.487,79.236,4900,75.912
2016-01-22,79.813,80.932,79.752,79.758,7400,76.412
2016-01-21,76.70,79.518,76.254,78.782,11400,75.477
2016-01-20,76.792,77.171,75.55,76.579,15600,73.366
2016-01-19,79.543,80.489,78.06,78.06,18500,74.785
2016-01-18,77.99,79.306,76.849,78.144,10100,74.866
2016-01-15,80.199,80.199,76.771,77.269,15800,74.027
2016-01-14,81.989,82.224,78.068,81.148,14100,77.744
2016-01-13,86.60,86.75,82.01,82.126,19400,78.681
2016-01-12,83.279,86.421,83.05,85.42,10600,81.837
2016-01-11,82.48,85.437,82.455,83.305,14100,79.81
2016-01-08,85.998,86.902,83.496,83.505,18800,80.002
2016-01-07,85.588,86.072,83.625,84.122,18700,80.593
2016-01-06,91.222,91.602,87.266,88.658,14500,84.939
2016-01-05,93.38,93.609,90.718,91.771,5800,87.921
